name,xform,cv,initial,final
CD16,log,2,187.8926458,409.116286926044
CD20_SUDHL4,log,2,14520.27741,139304.024372816
CD20_Z138,log,2,14520.27741,20372.3385735055
gamma,log,2,5.78e-05,4.62131411617189e-05
kexp,log,1,1.129546307,1.07131722422202
koff16_F158,log,1,16.956,77.9542134611811
koff16_V158,log,1,16.956,410.037095806714
koff20,log,0.1,0.044131499,0.016852987568849
r,log,1,1,0.879886558638849
