name,xform,cv,initial,final
CD16,log,2,9.883235532,5.15418273784797
CD20_SUDHL4,log,2,390,1180.1537696573
CD20_Z138,log,2,390,190.473275747162
gamma,log,2,3.37e-06,7.29184961263624e-12
kexp,log,1,1.129546307,0.0316375690953947
koff16_F158,log,1,16.956,11.4001130612823
koff16_V158,log,1,16.956,62.3934730388303
koff20,log,0.1,0.0468,0.0145330435611794
r,log,1,2.813069022,7.99776977986516
