Bar0, 0.3894736842105263
Bar1, 0.43421052631578944
Bar2, 0.3157894736842105
Bar3, 0.5368421052631578
Bar4, 0.5499999999999999
Bar5, 0.6184210526315789
Bar6, 0.5815789473684211
Bar7, 0.681578947368421
Bar8, 0.31842105263157894
Bar9, 0.2684210526315788
Bar10, 0.3131578947368421
Bar11, 0.45789473684210524
Bar12, 0.47631578947368414
Bar13, 0.5657894736842104
Bar14, 0.5921052631578948
Bar15, 0.5026315789473683
Bar16, 0.28421052631578947
Bar17, 0.23157894736842105
Bar18, 0.25789473684210523
Bar19, 0.41315789473684206
Bar20, 0.46578947368421036
Bar21, 0.48684210526315785
Bar22, 0.4710526315789473
Bar23, 0.6157894736842106
